Account_Number,Customer_Name,Invoice_Group,Total
QA96,ALLINGTON NURSERY & GARDEN CEN,8.5cm Pot Sweet Pea Tray of 18,0
QA96,ALLINGTON NURSERY & GARDEN CEN,8.5cm Pot vegetables Tray of 18,196.56
QA96,ALLINGTON NURSERY & GARDEN CEN,8.5cm Premium Pot Veg Tray of 18,151.2
QA96,ALLINGTON NURSERY & GARDEN CEN,8.5cm Wildflower Tray of 18,0
QA96,ALLINGTON NURSERY & GARDEN CEN,Bare root Wallflowers,0
QA96,ALLINGTON NURSERY & GARDEN CEN,Point of Sale,0
QA96,ALLINGTON NURSERY & GARDEN CEN,Q Sleeve Wallflowers,0
QA96,ALLINGTON NURSERY & GARDEN CEN,Strawberry Carry Packs Tray of 6,0
QA96,ALLINGTON NURSERY & GARDEN CEN,Strip Vegetables Tray of 6,530.1
QA96,ALLINGTON NURSERY & GARDEN CEN,Sweet Pea Carry Packs Tray of 6,0
QA124,ALLWOODS (HASSOCKS) LTD,10cm Bean/Pea Range - Trays of 10,0
QA124,ALLWOODS (HASSOCKS) LTD,10cm Grafted Vegetable Trays of 10,0
QA124,ALLWOODS (HASSOCKS) LTD,10cm Pot Chilli Tray of 10,0
QA124,ALLWOODS (HASSOCKS) LTD,10cm Pot Heritage Tomato,0
QA124,ALLWOODS (HASSOCKS) LTD,10cm Sweet Potato Tray of 10,0
QA124,ALLWOODS (HASSOCKS) LTD,1L Pot Herb Tray of 8,0
QA124,ALLWOODS (HASSOCKS) LTD,1L Pot Veg Tray of 8,0
QA124,ALLWOODS (HASSOCKS) LTD,8.5cm Pot Herb Tray of 18,936
QA124,ALLWOODS (HASSOCKS) LTD,8.5cm Pot Strawberry Tray of 18,0
QA124,ALLWOODS (HASSOCKS) LTD,8.5cm Pot Sweet Pea Tray of 18,0
QA124,ALLWOODS (HASSOCKS) LTD,8.5cm Pot vegetables Tray of 18,280.8
QA124,ALLWOODS (HASSOCKS) LTD,8.5cm Premium Pot Veg Tray of 18,90.72
QA124,ALLWOODS (HASSOCKS) LTD,8.5cm Wildflower Tray of 18,0
QA124,ALLWOODS (HASSOCKS) LTD,Bare root Wallflowers,0
QA124,ALLWOODS (HASSOCKS) LTD,Point of Sale,0
QA124,ALLWOODS (HASSOCKS) LTD,Q Sleeve Wallflowers,0
QA124,ALLWOODS (HASSOCKS) LTD,Strawberry Carry Packs Tray of 6,0
QA124,ALLWOODS (HASSOCKS) LTD,Strip Vegetables Tray of 6,390.6
QA124,ALLWOODS (HASSOCKS) LTD,Sweet Pea Carry Packs Tray of 6,0
QA50,ALMONDSBURY GARDEN CENTRE,10cm Bean/Pea Range - Trays of 10,0
QA50,ALMONDSBURY GARDEN CENTRE,10cm Grafted Vegetable Trays of 10,0
QA50,ALMONDSBURY GARDEN CENTRE,10cm Pot Chilli Tray of 10,0
QA50,ALMONDSBURY GARDEN CENTRE,10cm Pot Heritage Tomato,0
QA50,ALMONDSBURY GARDEN CENTRE,10cm Sweet Potato Tray of 10,0
QA50,ALMONDSBURY GARDEN CENTRE,1L Pot Herb Tray of 8,0
QA50,ALMONDSBURY GARDEN CENTRE,1L Pot Veg Tray of 8,0
QA50,ALMONDSBURY GARDEN CENTRE,8.5cm Pot Herb Tray of 18,0
QA50,ALMONDSBURY GARDEN CENTRE,8.5cm Pot Strawberry Tray of 18,0
QA50,ALMONDSBURY GARDEN CENTRE,8.5cm Pot Sweet Pea Tray of 18,0
QA50,ALMONDSBURY GARDEN CENTRE,8.5cm Pot vegetables Tray of 18,2765.88
QA50,ALMONDSBURY GARDEN CENTRE,8.5cm Premium Pot Veg Tray of 18,2313.36
QA50,ALMONDSBURY GARDEN CENTRE,8.5cm Wildflower Tray of 18,0
QA50,ALMONDSBURY GARDEN CENTRE,Bare root Wallflowers,0
QA50,ALMONDSBURY GARDEN CENTRE,Point of Sale,0
QA50,ALMONDSBURY GARDEN CENTRE,Q Sleeve Wallflowers,526.5
QA50,ALMONDSBURY GARDEN CENTRE,Strawberry Carry Packs Tray of 6,2060.28
QA50,ALMONDSBURY GARDEN CENTRE,Strip Vegetables Tray of 6,13224.6
QA50,ALMONDSBURY GARDEN CENTRE,Sweet Pea Carry Packs Tray of 6,1047.6
